frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
71,0,2.336,0.98,1,-0.42,-0.64,-1.79,0.25,0.27,-0.08,0.87,0.51,1.07,-0.32,-0.17,1.05,1.67,0.84,0.06,0.03,-0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
72,0,2.369,0.98,1,-0.12,-0.32,-1.64,0.46,0.14,-0.01,0.78,0.73,1.21,-0.19,-0.35,1.46,1.37,0.82,-0.35,1.02,-0.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
73,0,2.402,0.98,1,-0.09,-0.05,-1.53,0.06,0.30,-0.06,0.77,0.78,1.13,-0.01,-0.54,1.53,1.26,0.85,-0.31,0.90,-0.89,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
74,0,2.436,0.98,1,0.06,0.32,-1.50,0.41,0.24,-0.05,0.59,0.81,1.14,-0.40,-0.60,1.45,1.24,0.80,0.60,0.74,-0.53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
75,0,2.469,0.98,1,-0.01,0.30,-1.47,0.66,0.27,0.26,0.33,0.68,1.09,-0.56,-0.44,0.85,0.88,0.41,1.36,0.61,-0.49,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
76,0,2.503,0.93,1,-0.03,0.55,-1.35,1.15,0.61,0.53,0.29,0.85,1.35,-1.12,-0.23,0.15,0.79,0.06,1.84,0.51,0.24,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
77,0,2.536,0.93,1,-0.05,0.23,-1.48,1.22,0.61,0.04,0.53,0.94,1.27,-0.84,-0.23,0.42,0.72,0.08,1.66,0.42,0.17,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
78,0,2.569,0.93,1,0.26,0.22,-1.39,0.74,0.51,0.10,0.35,0.75,1.11,-0.56,-0.00,0.90,0.38,0.38,1.21,0.39,-0.03,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0,2.603,0.98,1,0.24,0.21,-1.30,1.05,0.43,0.31,0.58,0.80,0.90,-0.70,-0.13,1.05,-0.04,0.54,1.08,0.14,0.21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,2.636,0.98,1,0.36,-0.28,-1.17,0.40,0.43,0.21,0.51,0.84,0.95,-0.28,-0.16,1.27,0.73,0.51,1.19,0.86,0.62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
81,0,2.669,0.98,1,0.96,0.84,-0.91,0.67,0.54,0.47,0.44,0.57,0.91,-0.95,0.46,1.07,0.02,0.67,1.75,1.10,0.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
82,0,2.703,0.93,1,1.21,0.64,-0.69,0.52,0.70,0.28,0.13,0.56,1.16,-1.11,-0.16,0.51,0.52,0.05,1.99,1.04,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
